Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR5511206_THP1_RNA_pma_1_2	SRR5511206_THP1_RNA_pma_1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15780349.0		0.0	101.0	43.0	65.78695025723039	101.0	101	pass	pass	fail	pass	warn	pass	pass	pass	warn	warn	fail
SRR5511207_THP1_RNA_pma_2_1	SRR5511207_THP1_RNA_pma_2_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20201211.0		0.0	101.0	44.0	53.172310475086604	101.0	101	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	fail
SRR5511207_THP1_RNA_pma_2_2	SRR5511207_THP1_RNA_pma_2_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20201211.0		0.0	101.0	43.0	62.86452636355546	101.0	101	pass	pass	fail	pass	warn	pass	pass	pass	warn	warn	fail
SRR8932929_RNA_THP1_24hrPMA_rep2_R1	SRR8932929_RNA_THP1_24hrPMA_rep2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	70673497.0		0.0	100.0	47.0	40.90696665584836	100.0	100	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	warn
SRR8932929_RNA_THP1_24hrPMA_rep2_R2	SRR8932929_RNA_THP1_24hrPMA_rep2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	70673497.0		0.0	100.0	44.0	44.06982633853	100.0	100	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	warn
SRR8932930_RNA_THP1_0hrPMA_rep1_R1	SRR8932930_RNA_THP1_0hrPMA_rep1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	77218057.0		0.0	100.0	45.0	46.04909889941372	100.0	100	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass
SRR8932930_RNA_THP1_0hrPMA_rep1_R2	SRR8932930_RNA_THP1_0hrPMA_rep1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	77218057.0		0.0	100.0	43.0	47.340449237361135	100.0	100	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass
SRR8932934_RNA_THP1_24hrPMA_rep1_R1	SRR8932934_RNA_THP1_24hrPMA_rep1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47383920.0		0.0	100.0	46.0	35.76277263703507	100.0	100	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass
SRR8932934_RNA_THP1_24hrPMA_rep1_R2	SRR8932934_RNA_THP1_24hrPMA_rep1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47383920.0		0.0	100.0	44.0	39.75455230561315	100.0	100	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass
SRR8932935_RNA_THP1_0hrPMA_rep2_R1	SRR8932935_RNA_THP1_0hrPMA_rep2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82088817.0		0.0	100.0	45.0	43.875588362940036	100.0	100	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass
SRR8932935_RNA_THP1_0hrPMA_rep2_R2	SRR8932935_RNA_THP1_0hrPMA_rep2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82088817.0		0.0	100.0	43.0	43.58348339731803	100.0	100	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass
